,,,,,,,Per Game,Per Game,Per Game,Per Game,,,Adjusted,Adjusted,Adjusted,Adjusted,Plus/Minus,Plus/Minus,Plus/Minus,Plus/Minus,,Possession Quality,Possession Quality,Possession Quality,Point Shares,Point Shares,Point Shares,Shootouts,Shootouts,Shootouts,Shootouts
Rk,Player,Age,Tm,Pos,GP,GC,G,A,PTS,GC,PIM,S,G,A,PTS,GC,TGF,PGF,TGA,PGA,+/-,xGF,xGA,E+/-,OPS,DPS,PS,Att.,Made,Miss,Pct.
1,A.J. Greer\greeraj01,22,COL,LW,15,1,0.07,0.07,0.13,0.05,0.93,0.60,1,1,2,1,2,0,4,0,-2,3.6,3.8,-0.2,0.0,0.0,0.1,0,,,
2,Aaron Dell\dellaa01,29,SJS,G,25,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,77,21,70,17,0,51.5,44.1,,0.0,0.0,1.9,0,,,
3,Aaron Ekblad\ekblaaa01,22,FLA,D,82,13,0.16,0.29,0.45,0.16,0.57,2.20,13,24,37,14,113,17,119,24,1,72.2,74.0,-1.8,2.6,4.2,6.8,0,,,
4,Adam Clendening\clendad01,26,CBJ,D,4,0,0.00,0.00,0.00,0.00,0.00,0.75,0,0,0,0,2,0,2,1,1,1.6,2.5,-0.9,-0.1,0.2,0.1,0,,,
5,Adam Cracknell\crackad01,33,ANA,RW,2,0,0.00,0.00,0.00,0.00,0.00,1.50,0,0,0,0,0,0,1,0,-1,0.6,1.5,-0.9,-0.1,0.0,-0.1,0,,,
6,Adam Erne\ernead01,23,TBL,LW,65,7,0.11,0.20,0.31,0.11,0.62,1.08,7,13,20,7,34,4,21,1,10,23.0,25.0,-2.0,0.8,1.0,1.7,0,,,
7,Adam Gaudette\gaudead01,22,VAN,C,56,5,0.09,0.13,0.21,0.08,0.32,0.98,5,7,12,5,24,7,25,0,-8,16.4,26.1,-9.6,0.0,0.5,0.5,0,,,
8,Adam Henrique\henriad01,28,ANA,C,82,16,0.22,0.29,0.51,0.20,0.29,1.49,18,24,42,16,68,23,60,10,-5,41.9,43.2,-1.2,2.3,1.6,4.0,0,,,
9,Adam Johnson\johnsad01,24,PIT,C,6,1,0.00,0.33,0.33,0.09,0.00,0.50,0,2,2,1,3,0,1,0,2,1.8,1.4,0.3,0.1,0.1,0.2,0,,,
10,Adam Larsson\larssad01,26,EDM,D,82,6,0.04,0.21,0.24,0.08,0.54,1.43,3,17,20,6,54,1,107,26,-28,62.4,69.6,-7.1,0.2,1.7,1.8,0,,,
11,Adam Lowry\lowryad01,25,WPG,LW,78,9,0.15,0.14,0.29,0.12,0.42,1.35,12,11,23,10,38,0,49,17,6,34.6,34.7,-0.1,0.3,1.4,1.8,0,,,
12,Adam McQuaid\mcquaad01,32,TOT,D,50,3,0.06,0.08,0.14,0.05,0.84,0.56,3,4,7,3,30,0,38,10,2,25.9,28.9,-3.1,0.1,1.8,1.9,0,,,
13,Adam Pelech\pelecad01,24,NYI,D,78,7,0.06,0.21,0.27,0.09,0.31,1.41,5,16,21,7,58,0,54,18,22,55.3,51.5,3.8,0.9,5.1,5.9,0,,,
14,Adin Hill\hillad01,22,ARI,G,13,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,37,7,32,5,0,21.6,22.8,,0.0,0.0,1.5,0,,,
15,Adrian Kempe\kempead01,22,LAK,LW,81,11,0.15,0.20,0.35,0.14,0.62,1.46,12,16,28,11,40,6,46,2,-10,39.1,36.1,3.1,0.8,1.2,2.0,5,1,4,20.0
16,Alan Quine\quineal01,25,CGY,C,13,2,0.23,0.15,0.38,0.16,0.46,0.85,3,2,5,2,5,1,4,0,0,4.3,4.4,-0.1,0.4,0.1,0.6,0,,,
17,Alec Martinez\martial01,31,LAK,D,60,6,0.07,0.23,0.30,0.10,0.13,1.30,4,14,18,6,53,2,65,12,-2,43.4,46.1,-2.7,0.7,3.1,3.8,0,,,
18,Aleksander Barkov\barkoal01,23,FLA,C,82,35,0.43,0.74,1.17,0.43,0.10,2.51,35,61,96,36,144,55,115,23,-3,63.3,64.6,-1.3,7.9,2.1,10.0,10,3,7,30.0
19,Alex Biega\biegaal01,30,VAN,D,41,5,0.05,0.34,0.39,0.12,0.54,2.22,2,14,16,5,33,1,33,1,0,28.5,30.3,-1.8,1.0,1.8,2.7,0,,,
20,Alex Chiasson\chiasal01,28,EDM,RW,73,16,0.30,0.22,0.52,0.22,0.44,1.68,22,16,38,16,73,31,49,6,-1,38.0,40.4,-2.4,2.6,1.4,4.0,3,1,2,33.3
21,Alex DeBrincat\debrial01,21,CHI,RW,82,31,0.50,0.43,0.93,0.38,0.18,2.68,41,35,76,32,114,38,76,0,0,55.5,57.8,-2.2,7.6,1.2,8.8,2,1,1,50.0
22,Alex Formenton\formeal01,19,OTT,LW,9,1,0.11,0.00,0.11,0.06,0.67,1.78,1,0,1,1,3,0,6,1,-2,3.1,4.1,-1.0,-0.1,0.0,-0.1,0,,,
23,Alex Galchenyuk\galchal01,24,ARI,C,72,17,0.26,0.31,0.57,0.23,0.47,2.21,19,22,41,16,56,27,48,0,-19,36.4,45.8,-9.4,3.1,1.0,4.1,6,3,3,50.0
24,Alex Goligoski\goligal01,33,ARI,D,76,8,0.04,0.32,0.36,0.11,0.21,1.34,3,24,27,8,70,14,72,10,-7,57.9,57.1,0.7,1.2,3.9,5.1,0,,,
