
,,,,,,,Even Strength,Even Strength,Even Strength,Even Strength,,Power Play,Power Play,Power Play,Power Play,,Short Handed,Short Handed,Short Handed,Short Handed
Rk,Player,Tm,Pos,Shift,GP,,TOI,CF% Rel,GF/60,GA/60,,TOI,CF% Rel,GF/60,GA/60,,TOI,CF% Rel,GF/60,GA/60
1,A.J. Greer\greeraj01,COL,LW,0:36,15,,6:16,-1.4,1.3,2.6,,0:00,,0.0,0.0,,0:00,,,
2,Aaron Ekblad\ekblaaa01,FLA,D,0:52,82,,19:39,0.4,3.5,3.4,,1:41,-2.2,7.4,1.7,,2:18,7.9,0.6,7.6
3,Adam Clendening\clendad01,CBJ,D,0:40,4,,8:52,-7.7,3.4,1.7,,0:17,12.1,0.0,0.0,,1:30,9.5,0.0,10.0
4,Adam Cracknell\crackad01,ANA,RW,0:31,2,,10:16,6.2,0.0,2.9,,0:00,,,,,0:10,,,
5,Adam Erne\ernead01,TBL,LW,0:39,65,,9:44,-3.0,2.7,1.9,,0:30,-4.5,7.5,0.0,,0:17,12.9,3.2,3.2
6,Adam Gaudette\gaudead01,VAN,C,0:43,56,,9:34,-2.4,1.9,2.7,,1:22,-5.2,5.5,0.8,,0:00,,0.0,0.0
7,Adam Henrique\henriad01,ANA,C,0:55,82,,13:02,-1.5,2.5,2.6,,2:18,4.3,7.2,0.9,,1:05,0.6,0.7,6.7
8,Adam Johnson\johnsad01,PIT,C,0:32,6,,5:18,-1.3,5.7,1.9,,0:00,,,,,0:00,,,
9,Adam Larsson\larssad01,EDM,D,0:58,82,,19:32,1.8,1.9,3.0,,0:04,4.2,9.1,0.0,,2:00,0.4,1.1,9.5
10,Adam Lowry\lowryad01,WPG,LW,0:40,78,,12:16,1.6,2.1,1.9,,0:06,-29.5,0.0,7.7,,2:15,-3.5,1.4,5.8
11,Adam McQuaid\mcquaad01,TOT,D,0:48,50,,14:02,-4.9,2.7,2.5,,0:00,,0.0,0.0,,1:43,0.5,0.7,7.4
12,Adam Pelech\pelecad01,NYI,D,0:50,78,,16:55,1.8,2.6,1.6,,0:05,-17.1,0.0,0.0,,1:36,-4.7,0.5,8.7
13,Adrian Kempe\kempead01,LAK,LW,0:48,81,,12:36,4.3,2.0,2.4,,1:21,-3.8,3.3,2.2,,0:32,5.1,0.0,2.2
14,Alan Quine\quineal01,CGY,C,0:45,13,,9:16,-4.3,2.0,2.0,,0:13,-1.5,20.1,0.0,,0:00,,,
15,Alec Martinez\martial01,LAK,D,0:47,60,,18:15,-1.0,2.8,2.9,,1:12,6.9,1.7,0.8,,1:53,-1.0,0.0,5.6
16,Aleksander Barkov\barkoal01,FLA,C,0:52,82,,16:46,0.2,3.8,3.6,,3:30,4.2,11.5,2.1,,2:04,-2.7,0.4,8.1
17,Alex Biega\biegaal01,VAN,D,0:39,41,,16:54,2.6,2.8,2.8,,0:04,-12.2,17.9,0.0,,0:41,5.9,0.0,2.1
18,Alex Chiasson\chiasal01,EDM,RW,0:43,73,,13:44,-3.3,2.3,2.3,,2:37,0.1,9.7,1.3,,0:36,0.0,4.0,8.0
19,Alex DeBrincat\debrial01,CHI,RW,0:51,82,,14:19,1.2,3.9,3.5,,3:15,2.3,8.5,1.6,,0:06,12.4,0.0,0.0
20,Alex Formenton\formeal01,OTT,LW,0:43,9,,11:10,-4.5,1.8,3.0,,0:05,14.4,0.0,0.0,,0:24,-12.6,0.0,16.6
21,Alex Galchenyuk\galchal01,ARI,C,0:47,72,,12:33,0.9,1.9,2.9,,3:10,11.8,7.1,1.1,,0:00,-17.4,0.0,0.0
22,Alex Goligoski\goligal01,ARI,D,0:46,76,,17:24,-0.7,2.4,2.6,,1:50,-7.0,6.0,2.1,,1:33,-1.4,1.9,4.8
23,Alex Iafallo\iafalal01,LAK,C,0:43,82,,14:48,-1.3,2.3,2.9,,1:37,1.9,4.1,2.7,,0:23,-5.6,0.0,5.6
24,Alex Killorn\killoal01,TBL,C/LW,0:42,82,,11:33,4.0,3.2,2.0,,1:22,-3.0,6.9,1.1,,1:57,3.9,1.9,5.7
25,Alex Ovechkin\ovechal01,WSH,LW,1:15,81,,16:30,-0.1,4.1,3.6,,4:24,5.6,7.9,0.8,,0:00,,0.0,0.0
26,Alex Pietrangelo\pietral01,STL,D,0:51,71,,19:15,2.8,3.0,2.9,,2:45,-7.3,8.6,1.8,,2:03,3.5,1.6,8.3
27,Alex Steen\steenal01,STL,C,0:45,65,,12:36,0.6,2.4,2.3,,1:16,0.6,8.0,1.5,,1:57,-4.1,0.9,5.4
28,Alex Tuch\tuchal01,VEG,RW,0:50,74,,14:13,0.7,3.4,2.6,,2:29,2.8,6.4,0.6,,0:00,,,
29,Alexander Edler\edleral01,VAN,D,0:49,56,,18:47,0.7,2.8,2.6,,3:07,1.0,8.1,0.7,,2:39,-6.1,0.4,5.4
30,Alexander Kerfoot\kerfoal01,COL,C,0:45,78,,12:45,2.7,2.4,2.8,,2:03,2.1,7.6,0.7,,0:03,3.7,0.0,12.7
31,Alexander Nylander\nylanal01,BUF,LW,0:42,12,,11:11,5.0,1.8,3.1,,0:58,5.1,10.2,0.0,,0:00,,,
32,Alexander Petrovic\petroal01,TOT,D,0:44,35,,15:04,-1.5,1.5,2.6,,0:09,-37.8,0.0,0.0,,1:17,-3.0,0.0,9.1
33,Alexander Radulov\radulal01,DAL,RW,0:43,70,,16:39,3.8,3.7,2.4,,3:05,0.3,9.0,0.5,,0:01,38.8,0.0,41.4
34,Alexander Wennberg\wennbal01,CBJ,C,0:41,75,,11:55,1.3,2.4,2.8,,1:52,0.4,4.7,0.4,,1:16,5.6,2.5,3.8
35,Alexandre Fortin\fortial01,CHI,LW,0:44,24,,10:08,1.2,1.7,3.4,,0:03,,0.0,0.0,,0:23,5.7,6.5,19.4
36,Alexandre Texier\texieal01,CBJ,C,0:48,2,,12:46,-13.4,7.0,0.0,,0:00,,,,,0:00,,,
37,Anders Bjork\bjorkan01,BOS,LW,0:48,20,,10:53,-3.6,1.1,1.4,,0:50,-6.4,14.2,0.0,,0:04,-14.6,0.0,44.4
38,Anders Lee\leean01,NYI,C,0:52,82,,14:12,2.1,3.2,2.2,,2:51,5.8,6.0,0.0,,0:01,40.4,0.0,0.0
39,Andre Burakovsky\burakan01,WSH,LW,0:49,76,,10:50,-0.4,2.6,2.3,,0:14,5.5,3.3,0.0,,0:02,66.0,0.0,0.0
40,Andreas Athanasiou\athanan01,DET,C,0:44,76,,14:39,-2.1,2.7,3.2,,2:13,1.2,7.5,0.4,,0:05,12.3,0.0,9.3
41,Andreas Englund\engluan01,OTT,D,0:38,3,,12:37,16.8,0.0,4.8,,0:02,,0.0,0.0,,0:41,20.0,29.3,0.0
42,Andreas Johnsson\johnsan01,TOR,LW,0:40,73,,12:04,2.8,3.7,2.6,,1:34,-1.6,5.0,1.5,,0:00,,,
43,Andreas Martinsen\martian01,CHI,LW,0:49,24,,7:40,-6.0,1.6,3.6,,0:01,,0.0,0.0,,0:14,6.0,10.7,32.0
44,Andrei Svechnikov\svechan01,CAR,RW,0:44,82,,12:43,1.8,2.7,2.5,,1:54,-3.2,5.7,1.5,,0:00,83.0,0.0,0.0
45,Andrej Sekera\sekeran01,EDM,D,0:45,24,,14:39,4.1,2.9,2.7,,0:30,10.0,4.6,0.0,,1:18,7.7,3.8,5.7
46,Andrej Sustr\sustran01,ANA,D,0:39,5,,11:44,0.4,1.0,1.0,,0:08,-23.3,0.0,0.0,,0:09,-6.1,0.0,75.0
47,Andrew Agozzino\agozzan01,COL,LW,0:59,11,,7:15,-2.1,2.3,0.8,,0:05,,0.0,0.0,,0:27,3.9,0.0,12.1
48,Andrew Cogliano\coglian01,TOT,LW/C,0:40,78,,11:09,0.2,1.5,1.2,,0:03,-2.4,14.9,0.0,,1:22,5.1,0.0,5.1
49,Andrew Copp\coppan01,WPG,C,0:42,69,,10:44,3.0,3.1,1.5,,0:03,12.7,0.0,0.0,,1:21,-0.3,0.6,8.3
50,Andrew Ladd\laddan01,NYI,LW,0:45,26,,12:51,-1.3,2.5,2.2,,0:34,5.1,0.0,0.0,,0:24,14.1,5.7,5.7
51,Andrew MacDonald\macdoan01,PHI,D,0:42,47,,14:24,-0.3,2.7,3.3,,0:04,14.1,21.7,0.0,,1:54,-4.4,1.3,6.7
52,Andrew Mangiapane\mangian01,CGY,LW,0:51,44,,10:01,0.0,3.0,1.5,,0:27,2.4,0.0,0.0,,0:03,-15.2,0.0,0.0
53,Andrew Shaw\shawan01,MTL,C,0:46,63,,13:08,-1.8,4.1,2.9,,2:02,-1.7,3.3,0.0,,0:44,-6.4,0.0,7.7
54,Andy Greene\greenan01,NJD,D,0:44,82,,16:37,-2.7,2.6,3.3,,0:06,-2.8,6.6,0.0,,4:05,-3.2,1.4,5.5
55,Andy Welinski\welinan01,ANA,D,0:49,26,,15:11,2.4,2.0,2.7,,0:44,-7.0,3.0,0.0,,0:06,-15.1,0.0,0.0
56,Anthony Beauvillier\beauvan01,NYI,LW,0:52,81,,12:59,2.5,2.5,2.3,,1:39,-6.3,3.5,0.4,,0:00,,0.0,0.0
57,Anthony Bitetto\bitetan01,TOT,D,0:33,36,,11:46,-7.5,2.2,1.9,,0:02,,0.0,0.0,,0:06,-13.9,0.0,18.9
